Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Yan Liu,REP Township Supervisor Tredyffrin 2nd Dist,1,4,1
Madeleine Carlson,DEM Township Supervisor Unexpired 4 Year Term Charlestown Township,1,4,1
Jill Green,DEM Township Supervisor Unexpired 2 Year Term Charlestown Township,1,2,1
Louis Rubinfield,DEM Township Supervisor Unexpired 2 Year Term Charlestown Township,1,2,2
James Chance,DEM Township Supervisor Unexpired 2 Year Term E Marlborough Township,1,2,1
"Robert B. McKinstry, Jr.",DEM Township Supervisor Unexpired 2 Year Term E Marlborough Township,1,2,2
Bruce Yost,DEM Township Supervisor Unexpired 2 Year Term London Britain Township,1,2,1
Russell McKinnon,REP Township Supervisor Unexpired 2 Year Term London Britain Township,1,2,1
Brian Houck,REP Township Supervisor Unexpired 2 Year Term West Caln Township,1,2,1
Brian D. Yanoviak,REP Township Supervisor Unexpired 2 Year Term West Caln Township,1,2,2
Adam Thomas,DEM Township Commissioner Caln Township,3,4,1
Lorraine M. Tindaro,DEM Township Commissioner Caln Township,3,4,2
Joshua Young,DEM Township Commissioner Caln Township,3,4,3
Jane B. Kennedy,DEM Township Commissioner Caln Township,3,4,4
Kirk Reichert,DEM Tax Collector Avondale Borough,1,4,1
Beth Angiulo,DEM Tax Collector Downingtown Borough,1,4,1
Quintin Schroeder,DEM Tax Collector E Marlborough Township,1,4,1
Valinda Garcia,DEM Tax Collector Easttown Township,1,4,1
Brian Rebholz,DEM Tax Collector Oxford Borough,1,4,1
Eileen D. Kollmer,DEM Tax Collector Phoenixville Borough,1,4,1
Jeffrey Smith,DEM Tax Collector Upper Uwchlan Township,1,4,1
Paulette Lomarro,DEM Tax Collector Uwchlan Township,1,4,1
Hannah Levasseur,DEM Tax Collector W Fallowfield Township,1,4,1
David Kahl,DEM Tax Collector W Goshen Township,1,4,1
Wanda Prosser,DEM Tax Collector W Grove Borough,1,4,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
